date,NEB_mean,NEB_highest,NEB_lowest,RUKZ,AtlN,ONI,random_ts,wavelet_NEB_mean,wavelet_NEB_highest,wavelet_NEB_lowest,wavelet_RUKZ,wavelet_AtlN,wavelet_ONI
2002-05-01,96.7735635823217,80.88999938964844,93.72000122070312,35.22495676883425,24.908885156296865,0.43,4.879287156779962,-0.0416594502125194,-0.0867670180411779,-0.2705182037279347,0.1472566729700237,0.0068595353591143,0.3464192356055958
2002-06-01,45.06643699503493,31.6200008392334,94.91999816894533,52.44921218199188,25.62817488035579,0.65,12.394896876290344,-0.0504416240936732,-0.0898963941116485,-0.2790324516685938,0.1196557742701942,-0.0241016807328117,0.3769657888546622
2002-07-01,25.682643649478752,13.380000114440918,8.920000076293945,33.63030077494128,25.957062384632884,0.79,-5.141993139057771,-0.0616203194352189,-0.0933993917315658,-0.2901449262809301,0.0901191561424011,-0.0545072545359418,0.3976139611166084
2002-08-01,2.764942504165844,0.0599999986588954,18.46999931335449,64.68622271330389,26.674752744672062,0.86,-4.2179859676404,-0.0741071279442905,-0.0966918954685326,-0.3027024038448001,0.0591929494245497,-0.0829290010231257,0.4071991284658392
2002-09-01,2.2347126373186192,0.4099999964237213,0.0,13.00714479233346,27.210437360042864,1.01,10.040409985067091,-0.0865923234068711,-0.0990915094796568,-0.3151023892221383,0.0273851056100936,-0.1080851260253269,0.4050562647071455
2002-10-01,4.652298850146519,0.0,5.880000114440918,24.909400190709142,27.514203668920615,1.21,11.207691950465502,-0.0976493327046544,-0.0998685717893463,-0.3254527360345379,-0.0048322693115994,-0.1289109066969148,0.3910797764201837
2002-11-01,11.90218388516156,0.1599999964237213,21.920000076293945,41.72665551517507,26.85390626696411,1.31,14.983302529977706,-0.1058500253933766,-0.098302791524742,-0.3317556478876224,-0.0370141944732668,-0.1446125080245439,0.365753672815443
2002-12-01,15.829655179518392,16.299999237060547,7.46999979019165,14.883910841230442,25.723071195384527,1.14,-35.18067885335074,-0.1098822141290063,-0.0937417714484342,-0.332100528578819,-0.0687297061002659,-0.1547006627493117,0.330148546222759
2003-01-01,103.34045975783776,100.91000366210938,13.65999984741211,12.81491615059652,24.864198408253674,0.92,3.121432050147675,-0.1086605471066853,-0.0856574456339584,-0.324849624630413,-0.0995468606252268,-0.1590025520959799,0.2858837899620844
2003-02-01,162.20114863603965,307.8099975585937,66.72000122070312,8.007754873404572,24.070910325773387,0.63,9.38113612909428,-0.1014224203395603,-0.0736964872470746,-0.3088011823668644,-0.1290186096617707,-0.1576519268279919,0.2350556531763764
2003-03-01,241.45977020263672,307.4700012207031,80.51000213623047,5.699426895889204,24.11710437517521,0.38,3.3913890823397845,-0.0878016078894719,-0.0577210282951583,-0.2833168462958611,-0.1566722960735062,-0.151059162877634,0.1801339815030104
2003-04-01,148.1987361469488,156.39999389648438,32.880001068115234,18.45584896788543,24.43137424420933,-0.04,-26.86031122576122,-0.0678739207360778,-0.0378365692676851,-0.248403078353142,-0.1820052233481071,-0.1398644196171625,0.1238326615956372
2003-05-01,58.10586164189481,47.58000183105469,0.7300000190734863,61.730771126546806,25.176044468188696,-0.26,1.2663166858726496,-0.0421712379270747,-0.0144047129269738,-0.204740217277203,-0.20448818176531,-0.1248782454165633,0.068960720203683
2003-06-01,47.3844825791559,39.25,55.18000030517578,67.03269283825281,25.810700445697165,-0.16,-4.137070112046685,-0.0116625541851985,0.0119607105225684,-0.1536571012256156,-0.2235780147337586,-0.107014765031703,0.0182625803939929
2003-07-01,7.582183874929431,10.199999809265137,11.15999984741211,55.03836493778638,26.574776547088792,0.08,5.410138180450951,0.022296915490064,0.0404145060412163,-0.0970535880231772,-0.2387393418643683,-0.0872229313130264,-0.0257429732103837
2003-08-01,1.9633333372144863,0.2899999916553497,7.699999809265137,18.274620311684423,27.392599161353665,0.21,14.911048096863574,0.0580452189360402,0.069917234153377,-0.0372774655248413,-0.2494745063986376,-0.0664212129074721,-0.0609151116551688
